Fecha;Producto;Precio Unitario;Cantidad Vendidas;Total Ventas;Total Descuento;Ventas Netas;Estado de venta;;;;;
8/1/2024;Laptop Lenovo ThinkPad E14;950;12;11400;798;10602;Incompleta;;;;;
8/1/2024;Smartphone Samsung Galaxy S23;1100;18;19800;1386;18414;Completa;;;;;
8/1/2024;Auriculares Sony WH-1000XM5;320;20;6400;448;5952;Completa;;;;;
8/2/2024;"Monitor LG 27""";410;10;4100;287;3813;Incompleta;;;;;
8/2/2024;Teclado Mecánico Logitech G Pro;180;25;4500;315;4185;Completa;;;;;
8/3/2024;Mouse Logitech MX Master 3;150;16;2400;168;2232;Completa;;;;;
8/3/2024;Tablet Apple iPad 10ª Gen;780;9;7020;491,4;6528,6;Incompleta;;;;;
8/3/2024;Smartwatch Samsung Galaxy Watch 6;350;22;7700;539;7161;Completa;;;;;7%
8/4/2024;Disco SSD Samsung 1TB;130;30;3900;273;3627;Completa;;;;;
8/4/2024;Impresora HP LaserJet Pro;520;7;3640;254,8;3385,2;Incompleta;;;;;
;;;;;;;;;;;;
Producto mas vendido;30;;;;;;;;;;;
Promedio de ventas;6589,98;;;;;;;;;;;
Ventas por Fecha;34968;;;;;;;;;;;
